Entity,Share of the daily calorie supply that comes from animal protein,GDP per capita
Afghanistan,1.6046427,1357.9878
Albania,7.764092,12978.101
Algeria,3.0643342,13506.444
Angola,2.6449919,6118.905
Argentina,8.822527,18292.318
Armenia,6.839537,13837.577
Australia,8.821301,52049.43
Austria,7.0825624,43792.855
Azerbaijan,4.6484923,17682.94
Bahrain,6.8214874,38651.6
Bangladesh,2.6844492,4925.721
Barbados,8.026245,11545.848
Belarus,8.380277,18699.799
Belgium,7.883104,41872.395
Benin,2.0648756,2477.0903
Bolivia,7.1923065,6481.3906
Bosnia and Herzegovina,4.9144306,12142.863
Botswana,3.8721635,16351.91
Brazil,7.7328296,14640.076
Bulgaria,6.6591377,20592.455
Burkina Faso,2.5435038,1704.966
Burundi,0.7134595,717.22845
Cambodia,3.0525725,3944.2468
Cameroon,1.9676542,2812.2148
Canada,7.5615478,45529.645
Cape Verde,4.4760075,7202.767
Central African Republic,3.498342,596.393
Chad,5.2919836,1393.5635
Chile,7.23212,22740.72
China,6.0077806,19238.18
Colombia,5.8488436,14468.964
Comoros,3.4996378,1900.3983
Congo,5.7757444,4187.507
Costa Rica,7.195692,15496.82
Cote d'Ivoire,2.1210458,4011.7122
Croatia,8.478077,26986.752
Cuba,4.792426,7648.704
Cyprus,7.537853,31523.498
Czechia,7.309391,32247.395
Democratic Republic of Congo,0.7441653,844.172
Denmark,8.289117,50689.68
Djibouti,1.8568934,3623.0603
Dominica,7.3860416,8879.6455
Dominican Republic,5.4763293,17713.52
Ecuador,6.08248,10124.076
Egypt,3.6468313,13205.406
El Salvador,4.888938,9218.905
Estonia,9.2942295,30067.395
Eswatini,2.871589,8522.45
Ethiopia,1.1045091,2289.409
Finland,9.264293,40701.465
France,8.714277,39065.71
Gabon,6.719989,15720.901
Gambia,3.2101002,2010.5322
Georgia,5.2196417,14360.359
Germany,7.971519,46647.793
Ghana,2.301444,4242.4106
Greece,7.803322,25283.906
Guatemala,4.3080406,7969.431
Guinea,1.6806146,1809.2666
Guinea-Bissau,1.5887635,1625.3876
Haiti,2.327721,1546.4222
Honduras,3.975391,5186.5303
Hong Kong,11.188261,48289.383
Hungary,6.163049,29451.855
Iceland,11.483586,42145.594
India,2.852485,7765.593
Indonesia,4.1980286,12801.671
Iran,3.5892947,18473.066
Iraq,2.1048713,13071.94
Ireland,9.986754,60257.082
Israel,8.355555,36648.918
Italy,7.556116,36224.293
Jamaica,6.5790997,7481.6685
Japan,7.9922156,38268.79
Jordan,4.323411,9151.479
Kazakhstan,7.400925,26491.857
Kenya,2.7281644,3403.9238
Kuwait,6.8051724,71533.516
Kyrgyzstan,5.9405937,5304.841
Laos,3.0144377,7168.1904
Latvia,8.632181,27220.303
Lebanon,4.268653,10341.159
Lesotho,3.3120284,2312.9583
Liberia,2.582547,811.2146
Libya,5.4697967,12755.204
Lithuania,10.025301,30863.32
Luxembourg,8.667216,55484.777
Madagascar,1.057308,1367.0938
Malawi,2.624777,1190.0509
Malaysia,7.246695,26628.707
Mali,1.4052329,1651.9413
Malta,6.9301558,34496.34
Mauritania,4.1889143,3680.3662
Mauritius,6.387451,20643.094
Mexico,6.9301605,16235.455
Moldova,5.3310995,6674.871
Mongolia,12.933518,13442.906
Montenegro,8.818097,20941.805
Morocco,3.4208992,8400.127
Mozambique,1.6817331,1087.836
Myanmar,3.2331958,5177.4326
Namibia,3.674719,7979.328
Nepal,2.3024902,3013.5178
Netherlands,9.132229,49669.867
New Zealand,7.7628446,38250.12
Nicaragua,4.422917,5092.8413
Niger,1.365198,1007.72095
Nigeria,1.116881,5070.4927
North Korea,2.3774474,1668.5446
North Macedonia,4.9667425,14050.995
Norway,7.9325447,88366.22
Oman,6.656767,47988.65
Pakistan,4.957859,5531.723
Panama,6.897295,23557.02
Paraguay,3.8364375,8762.771
Peru,6.132262,12762.967
Philippines,4.109786,8370.666
Poland,7.7068796,32468.402
Portugal,9.273945,28992.059
Qatar,6.818785,149171.11
Romania,6.60814,26197.904
Russia,7.606298,25437.107
Rwanda,1.0815715,2198.0662
Saint Lucia,10.457986,10452.165
Sao Tome and Principe,3.1640644,3751.6428
Saudi Arabia,5.0802608,53516.91
Senegal,2.4489853,2660.6816
Serbia,6.603434,17097.686
Seychelles,7.7907324,31055.39
Sierra Leone,2.3034751,1690.4982
Slovakia,6.325578,27519.287
Slovenia,7.0830326,32673.762
South Africa,5.8036733,11415.887
South Korea,7.257514,41320.9
Spain,9.264982,34123.387
Sri Lanka,2.6852248,10705.481
Sweden,8.593193,47126.13
Switzerland,7.597819,63323.254
Syria,3.1534986,2494.7612
Taiwan,7.5370097,53142.984
Tajikistan,4.133811,5507.5454
Tanzania,2.2750986,3057.3286
Thailand,3.8498423,16421.072
Togo,1.3342371,1586.5889
Trinidad and Tobago,5.979831,25773.006
Tunisia,3.7490854,10913.846
Turkey,4.894991,27361.988
Turkmenistan,6.4982033,17234.555
Uganda,2.2397015,2122.0278
Ukraine,6.273212,7749.0996
United Arab Emirates,6.9247284,77203.67
United Kingdom,7.683366,38406.53
United States,8.535482,58487.465
Uruguay,7.400329,20181.94
Uzbekistan,6.0504923,12559.401
Venezuela,5.1887994,5267.1753
Vietnam,5.1155696,8050.359
Yemen,2.296423,1959.3195
Zambia,2.5151405,3342.4214
Zimbabwe,6.0043807,1703.5294